binomial,BEs
Thalpomys cerradensis,0
Thalpomys lasiotis,0
Thamnodynastes rutilus,0
Thrichomys apereoides,0
Thrichomys pachyurus,0
Thylamys velutinus,0
Trachycephalus mambaiensis,0
Trilepida brasiliensis,0
Trilepida koppesi,0
Tupinambis matipu*,0
Tupinambis quadrilineatus,0
Uropelia campestris,0
Vanzosaura savanicola*,0
Xenodon nattereri,0
Ameivula cipoensis*,1
Asthenes luizae,1
Atractus spinalis,1
Augastes scutatus,1
Boana cipoensis,1
Bokermannohyla alvarengai,1
Bokermannohyla nanuzae,1
Bokermannohyla sagarana,1
Bokermannohyla saxicola,1
Calassomys apicalis,1
Cinclodes espinhacensis,1
Crossodactylus trachystomus,1
Embernagra longicauda,1
Eurolophosaurus nanuzae,1
Gymnodactylus guttulatus,1
Hylodes otavioi,1
Leptodactylus camaquara,1
Lonchophylla bokermanni,1
Odontophrynus juquinha*,1
Phasmahyla jandaia,1
Phyllomys brasiliensis,1
Physalaemus claptoni*,1
Physalaemus deimaticus,1
Physalaemus evangelistai,1
Pithecopus megacephalus,1
Placosoma cipoense,1
Polystictus superciliaris,1
Proceratophrys cururu,1
Pseudopaludicola mineira*,1
Rhachisaurus brachylepis,1
Scinax cabralensis,1
Scinax curicica,1
Scinax machadoi,1
Scinax pinimus,1
Thoropa megatympanum,1
Trilepida jani,1
Trinomys moojeni,1
Tropidophis preciosus,1
Tropidurus montanus,1
Alipiopsitta xanthops,2
Antilophia galeata,2
Bothrops moojeni,2
Charitospiza eucosma,2
Chiasmocleis albopunctata,2
Cyanocorax cristatellus,2
Epicrates crassus,2
Herpsilochmus longirostris,2
Lycalopex vetulus,2
Melanopareia torquata,2
Myiothlypis leucophrys,2
Neothraupis fasciata,2
Physalaemus centralis,2
Physalaemus nattereri,2
Porphyrospiza caerulescens,2
Saltatricula atricollis,2
Suiriri affinis,2
Aplastodiscus lutzorum*,3
Boana buriti,3
Boana goiana,3
Bokermannohyla sapiranga,3
Enyalius capetinga*,3
Juscelinomys candango,3
Microakodontomys transitorius,3
Physalaemus atim*,3
Proceratophrys salvatori,3
Proceratophrys vielliardi,3
Scinax centralis,3
Scinax skaios,3
Scinax tigrinus,3
Alectrurus tricolor,4
Apostolepis assimilis*,4
Arremon flavirostris,4
Bothrops pauloensis,4
Clibanornis rectirostris,4
Dendropsophus elianeae,4
Nothura minor,4
Rhachidelus brazili,4
Simophis rhinostoma,4
Tropidurus itambere,4
Apostolepis cerradoensis,5
Atractus edioi,5
Boana ericae,5
Bokermannohyla pseudopseudis,5
Leptodactylus tapiti,5
Proceratophrys bagnoi,5
Proceratophrys rotundipalpebra,5
Scinax rupestris*,5
Allobates brunneus,6
Ameerega braccata,6
Amphisbaena brevis,6
Amphisbaena neglecta,6
Apostolepis lineata,6
Monodelphis sanctaerosae,6
Proceratophrys huntingtoni,6
Amphisbaena carli,7
Amphisbaena persephone*,7
Leposternon maximus,7
Oreobates antrum*,7
Phalotris cerradensis*,7
Psilops seductus*,7
Scinax goya*,7
Boana stenocephala,8
Bokermannohyla ibitiguara,8
Odontophrynus monachus,8
Scinax canastrensis,8
Scinax pombali,8
Stenocercus canastra*,8
Allobates goianus,9
Apostolepis albicollaris,9
Euryoryzomys lamia,9
Pithecopus oreades,9
Proceratophrys goyana,9
Rhinella sebbeni*,9
Amphisbaena absaberi,10
Apostolepis christineae,10
Helicops boitata*,10
Liotyphlops taylori*,10
Oreobates heterodactylus,10
Hylaeamys acritus,11
Juscelinomys huanchacae,11
Sporophila nigrorufa,11
Tropidurus callathelys,11
Tropidurus chromatops,11
Ameiva jacuba,12
Dendropsophus araguaya,12
Pristimantis ventrigranulosus,12
Pseudopaludicola ibisoroca*,12
Boana lundii,13
Coryphaspiza melanotis,13
Poospiza cinerea,13
Rhinella rubescens,13
Bothrops itapetiningae,14
Helicops gomesi*,14
Phalotris lativittatus,14
Phalotris mertensi,14
Calomys tocantinsi,15
Lysapsus caraya,15
Paroaria baeri,15
Synallaxis simoni,15
Ameivula xacriaba*,16
Bachia geralista,16
Rhinella inopina,16
Stenocercus quinarius,16
Amphisbaena kraoh,17
Amphisbaena saxosa,17
Bachia psamophila,17
Amphisbaena acrobeles,18
Bachia oxyrhina,18
Siagonodon acutirostris,18
Akodon kadiweu,19
Ameerega picta,19
Rhinella scitula,19
Amphisbaena filiformis*,20
Phalotris labiomaculatus,20
Pristimantis moa*,20
Bokermannohyla napolii,21
Bokermannohyla sazimai,21
Scytalopus novacapitalis,21
Barycholos ternetzi,22
Bothrops marmoratus,22
Trilepida fuliginosa,22
Elachistocleis matogrosso,23
Micrurus tricolor,23
Xenodon matogrossensis,23
Boana jaguariaivensis,24
Oxymycterus itapeby,24
Scinax rossaferesae*,24
Ameiva parecis,25
Apostolepis striata,25
Bachia didactyla,25
Adenomera saci,26
Celeus obrieni,26
Pseudis tocantins,26
Alopoglossus collii*,27
Ctenomys nattereri,27
Stenocercus albolineatus*,27
Boana caiapo*,28
Dendropsophus anataliasiasi,28
Leptodactylus pustulatus,28
Colobosaura modesta,29
Pithecopus azureus,29
Tropidurus oreadicus,29
