binomial,BEs
Scinax curicica,1
Scinax machadoi,1
Scinax pinimus,1
Thoropa megatympanum,1
Trilepida jani,1
Trinomys moojeni,1
Tropidophis preciosus,1
Tropidurus montanus,1
Alipiopsitta xanthops,2
Antilophia galeata,2
Bothrops moojeni,2
Cerradomys scotti,2
Charitospiza eucosma,2
Chiasmocleis albopunctata,2
Cyanocorax cristatellus,2
Epicrates crassus,2
Geositta poeciloptera,2
Herpsilochmus longirostris,2
Leptodactylus furnarius,2
Leptodactylus sertanejo,2
Lycalopex vetulus,2
Melanopareia torquata,2
Monodelphis kunsi,2
Myiothlypis leucophrys,2
Neothraupis fasciata,2
Physalaemus centralis,2
Physalaemus nattereri,2
Porphyrospiza caerulescens,2
Saltatricula atricollis,2
Suiriri affinis,2
Allobates goianus,3
Amphisbaena talisiae,3
Aplastodiscus lutzorum*,3
Apostolepis albicollaris,3
Boana buriti,3
Boana goiana,3
Bokermannohyla sapiranga,3
Enyalius capetinga*,3
Euryoryzomys lamia,3
Juscelinomys candango,3
Microakodontomys transitorius,3
Physalaemus atim*,3
Pithecopus oreades,3
Proceratophrys goyana,3
Proceratophrys salvatori,3
Proceratophrys vielliardi,3
Rhinella sebbeni*,3
Scinax centralis,3
Scinax skaios,3
Scinax tigrinus,3
Alectrurus tricolor,4
Apostolepis assimilis*,4
Arremon flavirostris,4
Bothrops pauloensis,4
Clibanornis rectirostris,4
Dendropsophus elianeae,4
Dendropsophus jimi,4
Drymoluber brazili,4
Nothura minor,4
Physalaemus marmoratus,4
Rhachidelus brazili,4
Simophis rhinostoma,4
Taoniscus nanus,4
Tropidurus itambere,4
Apostolepis adhara*,5
Apostolepis cerradoensis,5
Atractus edioi,5
Boana ericae,5
Bokermannohyla pseudopseudis,5
Leptodactylus tapiti,5
Proceratophrys bagnoi,5
Proceratophrys rotundipalpebra,5
Scinax rupestris*,5
Allobates brunneus,6
Ameerega braccata,6
Amphisbaena brevis,6
Amphisbaena cuiabana,6
Amphisbaena neglecta,6
Apostolepis kikoi*,6
Apostolepis lineata,6
Monodelphis sanctaerosae,6
Proceratophrys huntingtoni,6
Boana stenocephala,7
Bokermannohyla ibitiguara,7
Crossodactylus franciscanus*,7
Odontophrynus monachus,7
Pithecopus ayeaye,7
Scinax canastrensis,7
Scinax maracaya,7
Scinax pombali,7
Stenocercus canastra*,7
Anolis meridionalis,8
Colobosaura modesta,8
Lygophis paucidens,8
Penelope ochrogaster,8
Pithecopus azureus,8
Thrichomys pachyurus,8
Tropidurus oreadicus,8
Tupinambis quadrilineatus,8
Uropelia campestris,8
Amphisbaena carli,9
Amphisbaena persephone*,9
Leposternon maximus,9
Oreobates antrum*,9
Phalotris cerradensis*,9
Psilops seductus*,9
Scinax goya*,9
Akodon kadiweu,10
Ameerega picta,10
Amphisbaena bedai,10
Elachistocleis matogrosso,10
Micrurus tricolor,10
Rhinella scitula,10
Xenodon matogrossensis,10
Boana lundii,11
Chironius brazili*,11
Coryphaspiza melanotis,11
Odontophrynus cultripes,11
Poospiza cinerea,11
Rhinella rubescens,11
Thylamys velutinus,11
Ameivula xacriaba*,12
Bachia geralista,12
Knipolegus franciscanus,12
Rhinella inopina,12
Stenocercus quinarius,12
Trachycephalus mambaiensis,12
Vanzosaura savanicola*,12
Adenomera saci,13
Boana caiapo*,13
Celeus obrieni,13
Dendropsophus anataliasiasi,13
Leptodactylus pustulatus,13
Pseudis tocantins,13
Rhinella ocellata,13
Ameerega berohoka,14
Ameiva jacuba,14
Dendropsophus araguaya,14
Pristimantis ventrigranulosus,14
Proceratophrys dibernardoi,14
Pseudopaludicola ibisoroca*,14
Apostolepis phillipsae*,15
Hylaeamys acritus,15
Juscelinomys huanchacae,15
Sporophila nigrorufa,15
Tropidurus callathelys,15
Tropidurus chromatops,15
Ameivula jalapensis,16
Ameivula mumbuca,16
Amphisbaena acrobeles,16
Bachia oxyrhina,16
Siagonodon acutirostris,16
Amphisbaena absaberi,17
Apostolepis christineae,17
Helicops boitata*,17
Liotyphlops taylori*,17
Oreobates heterodactylus,17
Alopoglossus collii*,18
Atractus stygius*,18
Ctenomys nattereri,18
Proceratophrys strussmannae,18
Stenocercus albolineatus*,18
Calomys tocantinsi,19
Cercomacra ferdinandi,19
Lysapsus caraya,19
Paroaria baeri,19
Synallaxis simoni,19
Amphisbaena kraoh,20
Amphisbaena saxosa,20
Bachia micromela,20
Bachia psamophila,20
Amphisbaena filiformis*,21
Elachistocleis bumbameuboi,21
Phalotris labiomaculatus,21
Pristimantis moa*,21
Bokermannohyla napolii,22
Bokermannohyla sazimai,22
Ischnocnema penaxavantinho,22
Scytalopus novacapitalis,22
Apostolepis nelsonjorgei,23
Gymnodactylus amarali,23
Oligoryzomys moojeni,23
Proceratophrys branti,23
Apostolepis sanctaeritae*,24
Callithrix penicillata,24
Dendropsophus rubicundulus,24
Erythrolamprus maryellenae,24
Bothrops itapetiningae,25
Helicops gomesi*,25
Phalotris lativittatus,25
Phalotris mertensi,25
Amphisbaena leeseri,26
Nystalus striatipectus,26
Phalotris matogrossensis,26
Philodryas mattogrossensis,26
